XXX;`;a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x;y;z
`;1;4411;1307;1543;1691;1532;418;670;875;592;2423;2964;1573;2539;1147;395;516;93;1640;2056;1309;79;377;308;135;536;930
a;6641;557;542;471;1043;693;135;169;2333;1651;176;569;2529;1635;5439;64;83;61;3265;1119;688;382;835;162;183;2051;436
b;115;322;39;2;66;656;1;1;42;218;2;1;104;1;5;106;1;1;843;9;3;46;1;1;1;84;1
c;98;816;1;43;2;552;1;3;665;272;4;317;117;1;1;381;2;12;77;6;36;36;1;1;4;105;5
d;517;1304;2;4;150;1284;6;26;119;675;10;4;61;31;32;379;1;2;425;30;5;93;18;24;1;318;2
e;3984;680;122;154;385;1272;83;126;153;819;56;179;3249;770;2676;270;84;15;1959;862;581;70;464;51;133;1071;182
f;81;243;1;1;1;124;45;2;2;161;1;3;21;1;5;61;1;1;115;7;19;11;1;5;1;15;3
g;109;331;4;1;20;335;2;26;361;191;4;1;33;7;28;84;1;1;202;31;32;86;2;27;1;32;2
h;2410;2245;9;3;25;675;3;3;2;730;10;30;186;118;139;288;2;2;205;32;72;167;40;11;1;214;21
i;2490;2446;111;510;441;1654;102;429;96;83;77;446;1346;428;2127;589;54;53;850;1317;542;110;270;9;90;780;278
j;72;1474;2;5;5;441;1;1;46;120;3;3;10;6;3;480;2;1;12;8;3;203;6;7;1;11;1
k;364;1732;3;3;3;896;2;1;308;510;3;21;140;10;27;345;1;1;110;96;18;51;3;35;1;380;3
l;1315;2624;53;26;139;2922;23;7;20;2481;7;25;1346;61;15;693;16;4;19;95;78;325;73;17;1;1589;11
m;517;2591;113;52;25;819;2;1;6;1257;8;2;6;169;21;453;39;1;98;36;5;140;4;3;1;288;12
n;6764;2978;9;214;705;1360;12;274;27;1726;45;59;196;20;1907;497;6;3;45;279;444;97;56;12;7;466;146
o;856;150;141;115;191;133;35;45;172;70;17;69;620;262;2412;116;96;4;1060;505;119;276;177;115;46;104;55
p;34;210;3;2;1;198;2;1;205;62;2;2;17;2;2;60;40;1;152;17;18;5;1;1;1;13;1
q;29;14;1;1;1;2;1;1;1;14;1;1;2;3;1;3;1;1;2;3;1;207;1;4;1;1;1
r;1378;2357;42;100;188;1698;10;77;122;3034;26;91;414;163;141;870;15;17;426;191;209;253;81;22;4;774;24
s;1170;1202;22;61;10;885;3;3;1286;685;3;83;280;91;25;532;52;2;56;462;766;186;15;25;1;216;11
t;484;1028;2;18;1;717;3;3;648;533;4;1;135;5;23;668;1;1;353;36;375;79;16;12;3;342;106
u;156;164;104;104;137;170;20;48;59;122;15;94;302;155;276;11;17;11;415;475;83;4;38;87;35;14;46
v;89;643;2;1;2;569;1;1;2;912;1;4;15;1;9;154;1;1;49;1;1;8;8;1;1;122;1
w;52;281;2;1;9;150;3;2;24;149;1;7;14;3;59;37;1;1;23;21;9;26;1;3;1;74;2
x;165;104;2;5;6;37;4;1;2;103;1;1;40;2;2;42;1;1;1;32;71;6;1;4;39;31;20
y;2008;2144;28;116;273;302;13;31;23;193;24;87;1105;149;1827;272;16;7;292;402;105;142;107;5;29;24;79
z;161;861;5;3;3;374;1;2;44;365;3;3;124;36;5;111;3;1;33;5;5;74;3;4;2;148;46

