@ x1 y1 x2 y2
. 0.0 0.0  0.665457 -1.072915
a 0.0 0.0  -1.033553 -0.943854
b 0.0 0.0  -3.051589 -0.812666
c 0.0 0.0  -0.919768 -0.018818
d 0.0 0.0  0.514328 0.673236
e 0.0 0.0  -0.223886 0.255457
f 0.0 0.0  -0.875918 -0.022466
g 0.0 0.0  0.159551 -1.129566
h 0.0 0.0  -1.089208 0.696775
i 0.0 0.0  0.902131 1.037023
j 0.0 0.0  -0.052229 -0.024581
k 0.0 0.0  0.060543 0.123617
l 0.0 0.0  1.206435 -1.230895
m 0.0 0.0  0.012964 -0.922991
n 0.0 0.0  0.805893 0.166140
o 0.0 0.0  0.725315 0.258813
p 0.0 0.0  -0.604128 -0.064671
q 0.0 0.0  -0.601991 -0.622812
r 0.0 0.0  -1.476442 -0.577043
s 0.0 0.0  -0.537725 0.593860
t 0.0 0.0  -0.758750 0.515199
u 0.0 0.0  -0.043968 -0.571972
v 0.0 0.0  1.121023 0.055072
w 0.0 0.0  1.250511 -1.883523
x 0.0 0.0  0.374529 -0.875429
y 0.0 0.0  -2.001035 -1.336912
z 0.0 0.0  1.205564 0.503927
