@ x1 y1 x2 y2
. 0.0 0.0  1.237104 -2.311461
a 0.0 0.0  -2.068876 -2.670410
b 0.0 0.0  -3.041587 0.573571
c 0.0 0.0  -0.338089 -0.820273
d 0.0 0.0  -0.278223 -0.198386
e 0.0 0.0  -0.585960 1.522295
f 0.0 0.0  0.316330 -1.053169
g 0.0 0.0  0.209271 -1.292022
h 0.0 0.0  -0.227187 0.306279
i 0.0 0.0  0.636207 3.256229
j 0.0 0.0  0.455280 0.308126
k 0.0 0.0  -0.296786 -0.406608
l 0.0 0.0  2.744329 -0.222497
m 0.0 0.0  0.280272 -0.070588
n 0.0 0.0  1.636744 1.077428
o 0.0 0.0  -1.827054 2.292370
p 0.0 0.0  -0.458142 -0.534344
q 0.0 0.0  -2.243111 -0.885397
r 0.0 0.0  1.094718 0.119004
s 0.0 0.0  -0.935429 -0.163739
t 0.0 0.0  -0.608953 -0.264700
u 0.0 0.0  -2.361783 1.377827
v 0.0 0.0  0.689311 -0.674645
w 0.0 0.0  0.407212 -1.216661
x 0.0 0.0  -0.673947 0.061954
y 0.0 0.0  -4.174785 -1.024010
z 0.0 0.0  0.477988 0.088487
